	1
foxq1	2
K- RAS	3
NDUF-7	4
S-8	5
S-7	6
tumor-protein 53	7
S-4	8
S-3	9
Nampt	10
S-1	11
CREB3l2	12
CREB3l3	13
Primase-Polymerase	14
TULP4	15
Il-28B	16
gpx8	17
deleted in malignant brain tumor 1	18
Surfactant proteins A and C	19
Protein Phosphatase 1 a	20
NHK/Bmi-1	21
M1 and 5	22
Pef1p	23
Ppq1	24
hydroxymethylglutaryl co-enzyme A (HMG-CoA) reductase	25
IB4, transient receptor potential cation channel subfamily V member 1	26
TRY2	27
FuGene(TM)6	28
BRAF(Nav1.8	29
Sac1	30
Secreted Frizzled-Related Proteins 1 and 4	31
Sac3	32
S-6	33
Azurocidin  1	34
BSDL	35
tumor necrosis factor (TNF) receptor associated factor-6	36
Endocan	37
hsa-miR-375	38
Y1R	39
HOMA2IR and C3	40
TCOF1	41
SIAH1-glyceraldehyde-3-phosphate dehydrogenase	42
Gonadotropin-Regulated Testicular RNA Helicase	43
Down Regulated in Adenoma	44
hsa-miR-593	45
S-2	46
OPA6	47
HNF-1a	48
HNF-1b	49
vanR	50
OPA2	51
OPA3	52
NOD-Like Receptor Protein 3	53
OPA1	54
Y14	55
pp2c5	56
Programmed cell death 1 ligand 2	57
HYPDH	58
Escapin	59
proprotein convertase subtilisin kexin type 9	60
friend of GATA 2	61
thyroid transcription factor-1, estrogen receptor	62
NK 1.1	63
miRNA-182	64
miRNA-183	65
acid 2	66
pigment-dispersing factor	67
Proc R	68
hS20	69
NADPH:quinone oxidoreductase 1	70
HNF-1A	71
HNF-1B	72
ATAF1, 2	73
phosphoinositol 3-kinase	74
Rho-associated, coiled-coil containing protein kinase 1 and 2	75
AT(2)-R	76
MCP-1 (chemokine [C-C motif] ligand 2	77
VND3	78
Sacy	79
loop cluster regions (LCRs) 1 and 2	80
rIFN-gamma	81
phosphatidylinositol-3 kinase	82
CYP12d1	83
p38 MAP kinase	84
Mac-1 (macrophage antigen-1	85
Mllt4	86
TLRs 1, 2, 4 and 6	87
Mllt1	88
Carcinoembryonic antigen-related cell adhesion molecule-1	89
RNA binding protein	90
coiled-coil domain-containing protein 86	91
Triple functional domain protein	92
RLX family peptide receptor 1	93
Tp53	94
TCH4	95
pancreatic cholesterol esterase	96
phosphate transporter traffic facilitator1	97
TGF-b1, 2 and 3	98
pEGFP-IL18-M	99
Btg4	100
Btg3	101
Btg2	102
Btg1	103
S1 and tryptic S1	104
eotaxin-1/2-	105
histidyl-tRNA synthetase	106
hsa-miR- 196b	107
TRHr	108
syndecans-2 and -4	109
Beta 2-adrenoceptor	110
ubiquitin-specific protease enzyme 22	111
hTLR5	112
BIRC	113
rDGAT2	114
Lactate Dehydrogenase C4	115
hsa-miR-524	116
MDR-1	117
VNTR	118
BIR1	119
Proprotein Convertase Subtilisin Kexin Type 9	120
hnRNP A2/B1 D290V	121
Gga3	122
IL-1,6	123
AICAR	124
FPRP	125
TSH-R	126
sigmaR1	127
hematopoietic progenitor cell (HPC)-1	128
Na(+)/H(+) exchanger (NHE)-1	129
BCL2A1	130
GMPR	131
cytoplasmic polyadenylation element-binding protein 3	132
F-box only protein 31	133
Na-K-2Cl co-transporter	134
YOS1	135
Cop 1	136
TRH1	137
IFN regulatory factor 9	138
IFN regulatory factor 8	139
TRH4	140
ETS-related	141
IFN regulatory factor 5	142
IFN regulatory factor 4	143
IFN regulatory factor 7	144
DGAT1 and 2	145
IFN regulatory factor 1	146
Elo B/C	147
IFN regulatory factor 3	148
IFN regulatory factor 2	149
micro-RNA-222	150
Mier3	151
Single Immunoglobulin IL-1R-Related molecule	152
delta-aminolevulinate dehydratase	153
Tryptophan 2,3-dioxygenase	154
Tet)2	155
collagen type I alpha-2	156
Neurotrophic Factor	157
Swe1	158
fis-1	159
IGF2R	160
Arhgef25	161
activity dependent neuroprotective protein	162
peptidase a	163
Synaptonemal complex central element 1	164
Gscl	165
ET-1 and CML-AGE	166
dnc	167
zip-2	168
IGF2a	169
ETV-1	170
RAD-51	171
RAD-50	172
SLC36A2	173
SLC36A1	174
hCA VI	175
d1, d3, d5 for 3	176
mH1R-	177
Platelet-Derived Growth Factor Receptor	178
thrombospondin type 1 motif (ADAMTS)-4	179
PECAM	180
Lmna	181
fim-2	182
sialic acid-binding immunoglobulin-like lectin-E	183
PHOSPHATE1	184
smarcc2	185
Histone Deacetylases 1 and 2	186
M phase/maturation-promoting factor	187
Ubiquitin  -specific protease 22	188
MAIT-TCR	189
Sorcs1	190
Sorcs2	191
Mir155	192
NF-KappaB interacting lncRNA	193
cytochrome b-245 alpha gene	194
Cyp9c1	195
Topoisomerase IIIa	196
Zbtb46	197
eucaryotic initiation factor 4A	198
follicle-stimulating hormone beta	199
OX40L	200
ycf1	201
TrR1	202
Mpc70	203
CRTAM	204
isocitrate dehydrogenase (IDH)1	205
Smad anchor for receptor activation	206
microRNA165/6	207
kinesin-II	208
CADPS2	209
CRISPR associated	210
follicle stimulating hormone beta	211
Neogenin1	212
Leucine-rich repeat containing G protein-coupled receptor 5	213
P450b/P450e	214
Fbln1C	215
MDH3	216
CaP 1	217
CRTAP	218
glycine transporter type-1	219
interluekin-27	220
Fog1	221
Fog2	222
CHW-1	223
CPEB4	224
TERF-2	225
CPEB1	226
KAT II and KAT	227
CPEB3	228
CPEB2	229
HO-1, HO-2	230
gp91PHOX	231
ABAT	232
CF6	233
Breast Cancer Resistance Protein	234
Ten-eleven translocation 2	235
CF5	236
CF2	237
CF3	238
CF1	239
TNFR1-associated death domain protein	240
cystatin C-estimated rGFR (GFR(CysC)	241
SERCA)2	242
R1 and R1/d	243
RegIV	244
TPH-2	245
TPH-1	246
mitogen-activated protein kinase kinase kinase-8	247
Arf6-T27N	248
Excision repair cross-complementing group 1	249
Protein Tyrosine Phosphatase	250
triggering receptor expressed on myeloid cells 1	251
mitogen-activated protein kinase kinase kinase-3	252
OSF-2	253
mitogen-activated protein kinase kinase kinase-5	254
PEPC1	255
Mannose Receptor	256
ctk1	257
PEPCK	258
Dsi-1	259
GHR-P63	260
M-CSF-R	261
peroxisome proliferator-activated receptor-gamma, coactivator1-alpha	262
VGlut	263
IL-1. 5	264
mGLuR5	265
PS 1 and 2	266
Nogo66 Receptor	267
BIK1, a receptor-like cytoplasmic kinase	268
mGLuR8	269
peptidase A	270
mir-135b	271
CFL	272
RNF213 p	273
UPK2	274
Pip4k2a	275
CFH	276
CFI	277
CFF	278
histone deacetylase3	279
CFD	280
ADR6	281
CFB	282
receptor transporter protein-4	283
CFA	284
ABA2	285
ABA3	286
ABA1	287
p 150	288
formyl peptide receptor-like-1	289
PEPCx	290
galectin (Gal)-1	291
Laboratory of Genetics and Physiology 2	292
CFP	293
COX-VIc-1	294
Usp8	295
diacylglycerol-acyl transferase 1	296
cnnm2b	297
CYP9	298
TERC	299
eIF4F-poly(A)-binding protein 1	300
Niemann-Pick C2	301
hnRNP R	302
EPH receptor A3	303
EPH receptor A2	304
EDA receptor	305
Ly49G2	306
CK and S-100	307
EphB4a	308
smo	309
secreted protein, acidic, cysteine-rich	310
mixed lineage kinase domain like	311
Wilms tumor protein1	312
a-actinin-4	313
fir	314
RpS7	315
FGGY	316
Osteoactivin	317
Src-like kinase	318
Hiw	319
DNA Repair Enzyme	320
SAGE1	321
heme oxygenase type 1 (HO-1	322
beta subunit (atpB)	323
fib	324
agouti-related protein	325
p=7	326
OPA8	327
fie	328
nol9	329
R4B2	330
FKH1	331
