HGNC:5	['A1BG']	['alpha-1-B glycoprotein']
HGNC:24086	['A1CF', 'ACF', 'ASP', 'ACF64', 'ACF65', 'APOBEC1CF']	['APOBEC1 complementation factor']
HGNC:27057	['A2M-AS1']	['A2M antisense RNA 1 (head to head)', 'A2M antisense RNA 1 (non-protein coding)', 'A2M antisense RNA 1']
HGNC:41022	['A2ML1-AS1']	['A2ML1 antisense RNA 1', 'A2ML1 antisense RNA 1 (non-protein coding)']
HGNC:8	['A2MP1', 'A2MP']	['alpha-2-macroglobulin pseudogene 1', 'alpha-2-macroglobulin pseudogene']
HGNC:18149	['A4GALT', 'A14GALT', 'Gb3S', 'P(k)', 'P1']	['alpha 1,4-galactosyltransferase', 'Gb3 synthase', 'CD77 synthase', 'globotriaosylceramide synthase', 'lactosylceramide 4-alpha-galactosyltransferase', 'alpha 1,4-galactosyltransferase (globotriaosylceramide synthase, P blood group)']
HGNC:1	['A12M1']	['entry withdrawn']
HGNC:3	['A12M3']	['entry withdrawn']
HGNC:13666	['AAAS']	['aladin WD repeat nucleoporin', 'aladin', 'Allgrove, triple-A', 'adracalin', 'achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)', 'achalasia, adrenocortical insufficiency, alacrimia']
HGNC:21298	['AACS', 'FLJ12389', 'SUR-5', 'ACSF1']	['acetoacetyl-CoA synthetase', 'acyl-CoA synthetase family member 1']
HGNC:17	['AADAC', 'DAC', 'CES5A1']	['arylacetamide deacetylase', 'arylacetamide deacetylase (esterase)']
HGNC:50301	['AADACL2-AS1']	['AADACL2 antisense RNA 1']
HGNC:32038	['AADACL4', 'OTTHUMG00000001889']	['arylacetamide deacetylase like 4']
HGNC:17929	['AADAT', 'KATII', 'KAT2', 'KYAT2']	['aminoadipate aminotransferase', 'kynurenine aminotransferase II', 'L kynurenine/alpha aminoadipate aminotransferase']
HGNC:25662	['AAGAB', 'FLJ11506', 'p34']	['alpha- and gamma-adaptin binding protein']
HGNC:30205	['AAMDC', 'PTD015', 'FLJ21035', 'CK067', 'C11orf67']	['adipogenesis associated Mth938 domain containing', 'chromosome 11 open reading frame 67']
HGNC:19	['AANAT', 'SNAT']	['aralkylamine N-acetyltransferase', 'serotonin N-acetyltransferase', 'arylalkylamine N-acetyltransferase']
HGNC:33842	['AARD', 'LOC441376', 'C8orf85']	['alanine and arginine rich domain containing protein', 'Alanine and arginine-rich domain-containing protein', 'chromosome 8 open reading frame 85']
HGNC:21022	['AARS2', 'KIAA1270', 'bA444E17.1', 'AARSL']	['alanyl-tRNA synthetase 2, mitochondrial', 'alanine tRNA ligase 2, mitochondrial', 'alanyl-tRNA synthetase like', 'alanyl-tRNA synthetase 2, mitochondrial (putative)']
HGNC:49894	['AARSP1']	['alanyl-tRNA synthetase pseudogene 1']
HGNC:14235	['AASDHPPT', 'LYS5', 'CGI-80', 'AASD-PPT', 'ACPS']	['aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase', 'holo ACP synthase', 'holo-[acyl-carrier-protein] synthase']
HGNC:51526	['AATBC']	['apoptosis associated transcript in bladder cancer', 'apoptosis-associated transcript in bladder cancer']
HGNC:21	['AATK', 'AATYK', 'KIAA0641', 'LMTK1', 'LMR1', 'AATYK1', 'PPP1R77']	['apoptosis associated tyrosine kinase', 'lemur tyrosine kinase 1', 'protein phosphatase 1, regulatory subunit 77']
HGNC:22	['AAVS1', 'AAV']	['adeno-associated virus integration site 1']
HGNC:23	['ABAT', 'GABAT']	['4-aminobutyrate aminotransferase', '4-aminobutyrate transaminase']
HGNC:32	['ABCA2', 'ABC2']	['ATP binding cassette subfamily A member 2', 'ATP-binding cassette, sub-family A (ABC1), member 2']
HGNC:34	['ABCA4', 'FFM', 'ARMD2', 'CORD3', 'STGD1', 'ABCR', 'RP19', 'STGD']	['ATP binding cassette subfamily A member 4', 'Stargardt disease', 'ATP-binding cassette transporter, retinal-specific', 'ATP-binding cassette, sub-family A (ABC1), member 4']
HGNC:36	['ABCA6', 'EST155051']	['ATP binding cassette subfamily A member 6', 'ATP-binding cassette, sub-family A (ABC1), member 6']
HGNC:38	['ABCA8', 'KIAA0822']	['ATP binding cassette subfamily A member 8', 'ATP-binding cassette, sub-family A (ABC1), member 8']
HGNC:39983	['ABCA9-AS1']	['ABCA9 antisense RNA 1', 'ABCA9 antisense RNA 1 (non-protein coding)']
HGNC:31	['ABCA11P', 'EST1133530', 'FLJ14297', 'ABCA11']	['ATP binding cassette subfamily A member 11, pseudogene', 'ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene']
HGNC:14638	['ABCA13', 'FLJ33876', 'FLJ33951']	['ATP binding cassette subfamily A member 13', 'ATP-binding cassette, sub-family A (ABC1), member 13']
HGNC:40	['ABCB1', 'P-gp', 'CD243', 'GP170', 'ABC20', 'PGY1', 'MDR1', 'CLCS']	['ATP binding cassette subfamily B member 1', 'multidrug resistance protein 1', 'colchicin sensitivity', 'ATP-binding cassette, sub-family B (MDR/TAP), member 1']
HGNC:46	['ABCB5', 'EST422562', 'ABCB5beta', 'ABCB5alpha']	['ATP binding cassette subfamily B member 5', 'P-glycoprotein ABCB5', 'ATP-binding cassette protein', 'ATP-binding cassette, sub-family B (MDR/TAP), member 5']
HGNC:48	['ABCB7', 'EST140535', 'Atm1p', 'ASAT', 'ABC7']	['ATP binding cassette subfamily B member 7', 'ATP-binding cassette, sub-family B (MDR/TAP), member 7']
HGNC:50	['ABCB9', 'EST122234']	['ATP binding cassette subfamily B member 9', 'ATP-binding cassette, sub-family B (MDR/TAP), member 9']
HGNC:14114	['ABCB10P1', 'M-ABC2', 'MABC2', 'ABCB10P', 'ABCB10P2']	['ATP binding cassette subfamily B member 10 pseudogene 1', 'ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene', 'ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 2', 'ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1']
HGNC:31130	['ABCB10P4']	['ATP binding cassette subfamily B member 10 pseudogene 4', 'ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 4']
HGNC:51	['ABCC1', 'GS-X', 'MRP', 'MRP1']	['ATP binding cassette subfamily C member 1', 'multidrug resistance associated protein 1', 'ATP-binding cassette, sub-family C (CFTR/MRP), member 1']
HGNC:54	['ABCC3', 'MRP3', 'cMOAT2', 'EST90757', 'MLP2', 'MOAT-D']	['ATP binding cassette subfamily C member 3', 'canalicular multispecific organic anion transporter 2', 'ATP-binding cassette, sub-family C (CFTR/MRP), member 3']
HGNC:56	['ABCC5', 'MRP5', 'SMRP', 'EST277145', 'MOAT-C']	['ATP binding cassette subfamily C member 5', 'ATP-binding cassette, sub-family C (CFTR/MRP), member 5']
